T,K(cr),K(L),KOH(a),KOH(b),KOH(L),K2O2(s),K2O(s),KO2(s),H2O(s),H2O(L),Electron,H,H+,H-,HO2,H2,H2+,H2-,H2O,H2O+,H2O2,H3O+,K,K+,KH,KO,KO-,KOH,KOH+,K2,K2O2H2,O,O+,O-,OH,OH+,OH-,O2,O2+,O2-,O3
350.0,0.0,0.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.181195555319,1.07466266551e-46,1.22198906541e-30,1.91685251445e-180,2.19652957674e-66,1.47327306691e-72,0.835,5.01176929324e-176,1.77024661069e-82,0.588804444681,5.75391608906e-136,1.36219182482e-53,2.25941000575e-82,3.38841997046e-30,1.07466266551e-46,7.78086304158e-37,9.61567546449e-63,2.30509594379e-79,5.01820564496e-21,4.30795673928e-82,2.01378578717e-55,9.17598193031e-21,1.29427897235e-68,1.21875736273e-218,5.32356829994e-94,1.19673276702e-39,3.79974047079e-179,3.16434802575e-60,2.11148925949e-68,4.85447679978e-196,3.03848860267e-108,4.53384054791e-127
400.0,0.0,0.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.41792550365e-40,1.54391148931e-26,3.58612354834e-158,2.46195013878e-57,5.01682584939e-63,0.835,1.4522534153e-154,1.15096286602e-71,0.77,1.89843152468e-119,7.1516790548e-47,4.7156187541e-73,3.35106083629e-25,3.41792550366e-40,3.08744101305e-31,1.93997446605e-53,1.53396360439e-67,2.0456276823e-17,2.83597698514e-71,1.67504555253e-46,3.75093232151e-17,2.91098624045e-59,4.29114317494e-191,5.58845494864e-81,3.0235737293e-34,7.8494814249e-157,8.27399377723e-52,4.57620048279e-59,2.90004701831e-171,2.22233435903e-93,1.88302903729e-110
450.0,0.0,0.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.82119234519e-35,2.30655615986e-23,7.00285878812e-141,2.69366463096e-50,8.35504972553e-56,0.835,6.89676330574e-138,3.0776265708e-63,0.77,1.04571186784e-106,8.036874999e-42,6.72604183092e-66,2.61552107923e-21,3.82119234543e-35,7.40505314378e-27,2.81482228494e-46,2.10085376911e-58,1.15637046852e-14,6.24413208385e-63,1.63843304948e-39,2.00681290618e-14,4.15641776012e-52,8.35325558453e-170,5.91439166962e-71,3.79194043882e-30,1.3515874029e-139,2.38212792039e-45,5.18433468531e-52,3.23395261545e-152,5.23270632255e-82,8.1063949312e-98
500.0,0.0,0.0,1.02999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.13941264808e-31,8.05384623249e-21,4.98263830402e-127,1.11960036192e-44,5.08952294003e-50,0.835,1.57137208624e-124,1.63937556851e-56,0.77,1.69275599106e-96,8.91994859149e-38,3.64551781361e-60,3.24602477933e-18,4.1394126515e-31,2.24996181781e-23,1.46204448341e-40,3.99682594666e-51,1.78204619771e-12,2.96537565535e-56,5.81826012724e-34,2.82136978577e-12,2.24766826927e-46,9.5132181797e-153,6.09158187121e-63,7.29513415693e-27,8.73167134862e-126,3.41639267847e-40,2.34178070961e-46,5.95963169911e-137,6.50219690982e-73,1.0793269373e-87
550.0,0.0,0.0,0.0,1.02999999965,0.0,0.0,0.0,0.0,0.0,0.0,7.83360799478e-28,9.76317790777e-19,1.1694948042e-115,4.12194341129e-40,2.79170907968e-45,0.835,1.44415457694e-113,4.84246918903e-51,0.77,4.12895337709e-88,1.83824154815e-34,1.9198109882e-55,9.64929008067e-16,7.83360804759e-28,1.38928741132e-20,6.13973602644e-36,2.95356792266e-45,9.72378194081e-11,8.23845397232e-51,1.54297874003e-29,1.24994656684e-10,1.12117901108e-41,9.43434963771e-139,2.06025693618e-56,3.58367272527e-24,1.89925626093e-114,5.28078192567e-36,1.01251543683e-41,2.03342170565e-124,1.69889972149e-65,2.14208346e-79
600.0,0.0,0.0,0.0,1.02999999231,0.0,0.0,0.0,0.0,0.0,0.0,4.10140867823e-25,5.34997624404e-17,3.68131398161e-106,2.52611967465e-36,2.51422776558e-41,0.835,2.07144779166e-104,1.67727457655e-46,0.77,4.22259427321e-81,1.07130070017e-31,1.71814638615e-51,1.03145172901e-13,4.10140883556e-25,2.72871279512e-18,4.10035454183e-32,2.05471602111e-40,2.55507157959e-09,2.78423176453e-46,6.45022691766e-26,2.56972741583e-09,9.34234894449e-38,4.61481012941e-127,5.50298092757e-51,6.31533568848e-22,5.62221952496e-105,1.57304077761e-32,7.51614202128e-38,6.02186119571e-114,2.50782062868e-59,1.808458067e-72
650.0,0.0,0.0,0.0,1.02999989678,0.0,0.0,0.0,0.0,0.0,0.0,8.14740497315e-23,1.5910174515e-15,4.11518782482e-98,3.9778714132e-33,5.63541345266e-38,0.834999999997,1.18647130852e-96,1.14084715965e-42,0.770000000005,3.68706196752e-75,2.36229047784e-29,3.85756826032e-48,5.22545939851e-12,8.14740632038e-23,2.31238398674e-16,6.92146544563e-29,2.46447182688e-36,3.97986393857e-08,1.89562940123e-42,7.05514124683e-23,3.17101771141e-08,1.96227952694e-34,3.70998427635e-117,2.12593515412e-46,5.05297427371e-20,5.97451703893e-97,1.34683220802e-29,1.43592980212e-34,4.52492655098e-105,4.1359664613e-54,1.34267101258e-66
700.0,0.0,0.0,0.0,0.0,1.02999912639,0.0,0.0,0.0,0.0,0.0,7.39099424801e-21,2.92609951051e-14,3.41074290411e-91,2.10763141993e-30,4.23157593442e-35,0.834999999929,5.52789188121e-90,2.11483845742e-39,0.770000000141,4.75713510491e-70,2.42640443146e-27,2.98761113097e-45,1.40959436793e-10,7.39099848572e-21,9.69465296733e-15,3.79309038392e-26,6.95617537501e-33,3.93234148183e-07,3.58128368309e-39,2.46689489148e-20,2.40118421487e-07,1.3941925688e-31,1.20619484928e-108,1.75792641568e-42,2.17233678385e-18,4.74570296995e-90,4.23559030537e-27,9.42992302594e-32,1.93357662708e-97,1.19142787532e-49,1.47300479058e-61
750.0,0.0,0.0,0.0,0.0,1.02999496194,0.0,0.0,0.0,0.0,0.0,3.55094166923e-19,3.66277343839e-13,3.55273510757e-85,4.63497831915e-28,1.32378135585e-32,0.83499999887,3.48729865733e-84,1.3752502082e-36,0.77000000226,1.33962092896e-65,1.35209337768e-25,9.95787840554e-43,2.25972744162e-09,3.55094760265e-19,2.27790445775e-13,8.30986638653e-24,6.0215233174e-30,2.65445897022e-06,2.40387585283e-36,3.35355587785e-18,1.19067224671e-06,4.15805722406e-29,3.03293088724e-101,4.19885591034e-39,5.67845858771e-17,4.76727393117e-84,5.92873332691e-25,2.63260052396e-29,8.39145876863e-91,8.42263882177e-46,3.49447973127e-57
800.0,0.0,0.0,0.0,0.0,1.02997669945,0.0,0.0,0.0,0.0,0.0,1.04665998475e-17,3.35321457288e-12,6.6663312222e-80,5.13257803591e-26,2.03192976376e-30,0.834999987438,4.21182268987e-79,3.92900628381e-34,0.770000025118,1.06439185942e-61,4.58262843351e-24,1.62666404132e-40,2.51142902167e-08,1.04666441197e-17,3.53835205208e-12,9.14049575064e-22,2.17126723467e-27,1.39052851263e-05,7.1534652459e-34,2.36901797216e-16,4.68507359439e-06,6.12119099171e-27,9.25555873494e-95,3.75993254414e-36,9.90304140019e-16,8.66932844e-79,4.42187234763e-23,3.66466149668e-27,5.51401883746e-85,1.95478065468e-42,2.38566806967e-53
850.0,0.0,0.0,0.0,0.0,1.02991006718,0.0,0.0,0.0,0.0,0.0,2.06400630152e-16,2.37209326545e-11,3.04550409371e-75,3.23287417907e-24,1.73432617166e-28,0.834999896589,1.30251005785e-74,5.7075267072e-32,0.770000206758,2.9801428725e-58,1.03099474187e-22,1.47606039951e-38,2.06719113396e-07,2.06402598849e-16,3.91459570129e-11,5.70636137728e-20,3.81399263302e-25,5.91737949208e-05,1.08939365427e-31,9.78851941386e-15,1.52761312078e-05,5.03527229529e-25,4.96587412583e-89,1.50152591761e-33,1.2370913606e-14,3.85353523885e-74,1.96508334811e-21,2.87397625773e-25,7.64181084025e-80,1.81327572386e-39,5.83255598537e-50
900.0,0.0,0.0,0.0,0.0,1.02970136309,0.0,0.0,0.0,0.0,0.0,2.91287842435e-15,1.35337465405e-10,4.28256824003e-71,1.27334799304e-22,9.07367892425e-27,0.834999336355,1.29323290528e-70,4.72265830748e-30,0.770001326828,3.49553991536e-55,1.64804128198e-21,8.20150321393e-37,1.32650116034e-06,2.91293534566e-15,3.26812001235e-10,2.22407799148e-18,3.6857022212e-23,0.000211956660565,9.49325451944e-30,2.59295343779e-13,4.26767122902e-05,2.54914303873e-23,6.25062285939e-84,3.06073052175e-31,1.16994055989e-13,5.28928883787e-70,5.67571136096e-20,1.39646084532e-23,2.89118315488e-75,7.83459077155e-37,6.05428062894e-47
950.0,0.0,0.0,0.0,0.0,1.02924252265,0.0,0.0,0.0,0.217005978653,0.0,3.05352822458e-14,5.99081288716e-10,1.82309297201e-67,3.57650018399e-21,1.50737141163e-25,0.834996128109,4.33149378116e-67,2.77018103008e-28,0.553001761935,1.2427693301e-52,1.01868517235e-20,2.04511866575e-35,7.7379801976e-06,3.05361550046e-14,2.59486443807e-09,4.692525562e-17,1.97380993717e-21,0.00056836191234,3.92940763601e-28,6.86401739225e-12,9.06874266471e-05,5.32438914343e-22,1.26535462326e-79,2.50403182643e-29,5.84459889606e-13,1.58260278488e-66,8.67208502676e-19,2.02168012896e-22,1.43524257296e-71,9.03155809295e-35,9.77864498702e-45
1000.0,0.0,0.0,0.0,0.0,1.02793099848,0.0,0.0,0.0,0.760703951711,0.0,1.01695521043e-12,1.90770234375e-09,4.88800195658e-65,3.45237232372e-19,9.71261881082e-28,0.834562502327,1.12179827322e-64,6.22181026904e-26,0.0101705776522,1.05896034609e-52,3.23337553352e-23,1.91074335946e-36,0.000873864531839,1.01695698896e-12,4.6407487125e-07,4.18691086339e-16,2.34044539739e-19,0.000950601566849,1.34265518224e-27,1.00377656433e-07,0.000121935296151,1.41772572353e-22,2.85663090721e-78,1.3093088446e-28,5.14237008957e-14,7.65792049057e-66,1.19925096655e-18,9.60354091331e-25,2.26856054934e-72,1.59621524754e-35,1.01255056383e-47
